city,zone,rainfall_mm,drainage_capacity,population_density,traffic_index,road_condition_rating,critical_infrastructure_count,rainfall,drainage_capacity_pct,population,traffic,road_condition,critical_infrastructure,drainage_overflow_ratio,road_vulnerability,flood_risk_score,flood_risk_target,target
Chennai,T. Nagar Market,247.03,53.04,86435,72.86,6.81,8,247.03,53.04,86435,72.86,6.81,8,4.6573,0.3189,0.98,1,1
Chennai,Adyar Basin,225.09,56.24,92715,53.59,3.38,6,225.09,56.24,92715,53.59,3.38,6,4.0023,0.6623,0.98,1,1
Chennai,T. Nagar Market,120.0,68.79,72579,80.94,7.3,6,120.0,68.79,72579,80.94,7.3,6,1.7444,0.2705,0.98,1,1
Chennai,Adyar Basin,24.99,52.66,57412,94.8,7.86,4,24.99,52.66,57412,94.8,7.86,4,0.4746,0.2139,0.5721,1,1
Chennai,Tambaram Outfall,110.58,54.01,36309,41.69,3.92,5,110.58,54.01,36309,41.69,3.92,5,2.0474,0.6083,0.98,1,1
Chennai,Velachery,180.7,38.55,59443,67.77,5.49,4,180.7,38.55,59443,67.77,5.49,4,4.6873,0.4512,0.98,1,1
Chennai,Tambaram Outfall,296.68,21.47,51585,66.77,7.3,3,296.68,21.47,51585,66.77,7.3,3,13.8185,0.2696,0.98,1,1
Chennai,T. Nagar Market,298.74,65.62,68364,65.62,7.1,2,298.74,65.62,68364,65.62,7.1,2,4.5526,0.2902,0.98,1,1
Chennai,T. Nagar Market,386.7,40.27,31561,53.06,7.84,8,386.7,40.27,31561,53.06,7.84,8,9.6039,0.2157,0.98,1,1
Chennai,Velachery,133.42,63.54,90135,71.87,6.14,8,133.42,63.54,90135,71.87,6.14,8,2.0999,0.3856,0.98,1,1
Chennai,Adyar Basin,327.37,35.61,87649,87.19,2.55,2,327.37,35.61,87649,87.19,2.55,2,9.1938,0.745,0.98,1,1
Chennai,Velachery,128.54,31.73,72233,44.04,3.43,3,128.54,31.73,72233,44.04,3.43,3,4.0505,0.6566,0.98,1,1
Chennai,Velachery,176.42,61.44,62240,64.72,5.73,5,176.42,61.44,62240,64.72,5.73,5,2.8713,0.4267,0.98,1,1
Chennai,Tambaram Outfall,196.71,50.28,71886,76.51,5.11,2,196.71,50.28,71886,76.51,5.11,2,3.9126,0.489,0.98,1,1
Chennai,Tambaram Outfall,400.92,49.27,87278,70.7,5.47,5,400.92,49.27,87278,70.7,5.47,5,8.1375,0.4531,0.98,1,1
Chennai,T. Nagar Market,125.71,22.58,59030,52.36,3.49,4,125.71,22.58,59030,52.36,3.49,4,5.5662,0.651,0.98,1,1
Chennai,Velachery,64.48,49.23,45611,48.16,7.93,4,64.48,49.23,45611,48.16,7.93,4,1.3098,0.2074,0.8178,1,1
Chennai,T. Nagar Market,136.77,46.09,29110,76.68,3.27,7,136.77,46.09,29110,76.68,3.27,7,2.9678,0.6732,0.98,1,1
Chennai,Velachery,83.76,66.99,24470,48.93,3.54,8,83.76,66.99,24470,48.93,3.54,8,1.2503,0.6464,0.8407,1,1
Chennai,Velachery,476.44,32.77,68320,86.1,7.7,3,476.44,32.77,68320,86.1,7.7,3,14.5411,0.2305,0.98,1,1
Chennai,Adyar Basin,253.15,50.89,56487,87.55,6.73,4,253.15,50.89,56487,87.55,6.73,4,4.9742,0.3273,0.98,1,1
Chennai,Velachery,302.69,67.04,39508,76.68,5.67,7,302.69,67.04,39508,76.68,5.67,7,4.5148,0.4325,0.98,1,1
Chennai,Tambaram Outfall,91.3,50.25,25704,87.65,7.96,6,91.3,50.25,25704,87.65,7.96,6,1.817,0.2037,0.98,1,1
Chennai,Velachery,67.26,52.53,49165,90.91,4.91,3,67.26,52.53,49165,90.91,4.91,3,1.2806,0.509,0.9428,1,1
Chennai,Adyar Basin,435.51,35.86,37772,84.98,3.16,7,435.51,35.86,37772,84.98,3.16,7,12.1448,0.6839,0.98,1,1
Chennai,Velachery,190.54,39.81,29108,60.92,5.52,2,190.54,39.81,29108,60.92,5.52,2,4.7863,0.4483,0.98,1,1
Chennai,Velachery,276.38,42.22,83449,72.29,3.43,7,276.38,42.22,83449,72.29,3.43,7,6.5461,0.6574,0.98,1,1
Chennai,T. Nagar Market,274.79,67.57,51348,84.76,3.1,6,274.79,67.57,51348,84.76,3.1,6,4.0665,0.6901,0.98,1,1
Chennai,Adyar Basin,267.25,32.3,66819,73.43,6.71,7,267.25,32.3,66819,73.43,6.71,7,8.2732,0.3293,0.98,1,1
Chennai,T. Nagar Market,23.73,29.79,89967,75.61,7.44,2,23.73,29.79,89967,75.61,7.44,2,0.7967,0.2561,0.6573,1,1
Chennai,Tambaram Outfall,459.05,23.01,57650,45.58,5.17,6,459.05,23.01,57650,45.58,5.17,6,19.9471,0.4828,0.98,1,1
Chennai,T. Nagar Market,269.95,49.05,74691,79.47,4.7,6,269.95,49.05,74691,79.47,4.7,6,5.504,0.5301,0.98,1,1
Chennai,Tambaram Outfall,409.3,46.12,64139,49.98,5.39,8,409.3,46.12,64139,49.98,5.39,8,8.8739,0.4612,0.98,1,1
Chennai,Velachery,137.89,68.15,32149,84.33,5.53,6,137.89,68.15,32149,84.33,5.53,6,2.0235,0.4474,0.98,1,1
Chennai,Adyar Basin,68.79,20.13,85429,85.06,7.36,2,68.79,20.13,85429,85.06,7.36,2,3.4176,0.2637,0.98,1,1
Chennai,Tambaram Outfall,211.88,61.99,91831,59.44,3.8,6,211.88,61.99,91831,59.44,3.8,6,3.4178,0.6197,0.98,1,1
Chennai,Tambaram Outfall,146.63,61.13,27227,76.93,6.95,4,146.63,61.13,27227,76.93,6.95,4,2.3987,0.3048,0.98,1,1
Chennai,Adyar Basin,88.28,31.76,37633,66.01,5.44,7,88.28,31.76,37633,66.01,5.44,7,2.7794,0.4556,0.98,1,1
Chennai,Tambaram Outfall,164.58,31.51,60390,70.07,3.78,7,164.58,31.51,60390,70.07,3.78,7,5.2227,0.6224,0.98,1,1
Chennai,Velachery,488.15,26.82,85108,77.17,4.93,6,488.15,26.82,85108,77.17,4.93,6,18.1996,0.5065,0.98,1,1
Chennai,T. Nagar Market,362.04,20.79,49371,85.03,5.82,7,362.04,20.79,49371,85.03,5.82,7,17.4134,0.4182,0.98,1,1
Chennai,Adyar Basin,141.88,52.26,93379,50.55,4.28,4,141.88,52.26,93379,50.55,4.28,4,2.7147,0.5721,0.98,1,1
Chennai,Adyar Basin,185.04,23.47,92240,85.75,6.18,5,185.04,23.47,92240,85.75,6.18,5,7.8838,0.3817,0.98,1,1
Chennai,Adyar Basin,298.96,54.01,65113,58.32,6.18,8,298.96,54.01,65113,58.32,6.18,8,5.5356,0.3818,0.98,1,1
Chennai,Tambaram Outfall,332.02,47.89,29686,65.59,2.83,5,332.02,47.89,29686,65.59,2.83,5,6.9331,0.7169,0.98,1,1
Chennai,T. Nagar Market,271.66,24.83,88619,59.12,6.16,5,271.66,24.83,88619,59.12,6.16,5,10.9392,0.3843,0.98,1,1
Chennai,T. Nagar Market,459.12,31.73,75922,48.38,7.96,5,459.12,31.73,75922,48.38,7.96,5,14.4686,0.2041,0.98,1,1
Chennai,Tambaram Outfall,313.7,24.46,24895,47.02,7.04,7,313.7,24.46,24895,47.02,7.04,7,12.8269,0.2957,0.98,1,1
Chennai,Tambaram Outfall,354.49,21.81,25782,54.47,4.48,6,354.49,21.81,25782,54.47,4.48,6,16.255,0.5519,0.98,1,1
Chennai,Velachery,161.35,39.85,38073,73.03,5.34,4,161.35,39.85,38073,73.03,5.34,4,4.0489,0.4664,0.98,1,1
Chennai,Adyar Basin,253.05,69.61,84612,61.51,5.26,2,253.05,69.61,84612,61.51,5.26,2,3.6353,0.4744,0.98,1,1
Chennai,T. Nagar Market,337.99,46.62,93165,84.33,6.85,5,337.99,46.62,93165,84.33,6.85,5,7.2493,0.3155,0.98,1,1
Chennai,Adyar Basin,53.76,40.15,26721,48.46,3.73,7,53.76,40.15,26721,48.46,3.73,7,1.339,0.627,0.8949,1,1
Chennai,Velachery,290.5,43.97,49984,90.75,5.18,7,290.5,43.97,49984,90.75,5.18,7,6.6072,0.4821,0.98,1,1
Chennai,Tambaram Outfall,381.34,28.74,31138,92.4,7.04,6,381.34,28.74,31138,92.4,7.04,6,13.2679,0.2961,0.98,1,1
Chennai,Adyar Basin,257.43,31.63,60108,70.22,7.81,5,257.43,31.63,60108,70.22,7.81,5,8.1393,0.2188,0.98,1,1
Chennai,Velachery,463.56,63.81,72188,45.81,6.02,6,463.56,63.81,72188,45.81,6.02,6,7.2652,0.3975,0.98,1,1
Chennai,T. Nagar Market,87.82,23.07,62913,65.29,2.82,4,87.82,23.07,62913,65.29,2.82,4,3.8071,0.718,0.98,1,1
Chennai,Adyar Basin,42.68,54.75,45032,63.67,3.44,6,42.68,54.75,45032,63.67,3.44,6,0.7795,0.6561,0.6603,1,1
Chennai,T. Nagar Market,100.15,54.58,61568,68.02,7.98,2,100.15,54.58,61568,68.02,7.98,2,1.8349,0.2018,0.98,1,1
Chennai,Velachery,309.69,35.31,32411,86.64,6.48,6,309.69,35.31,32411,86.64,6.48,6,8.7699,0.3516,0.98,1,1
Chennai,Velachery,184.68,46.28,47605,85.51,6.53,7,184.68,46.28,47605,85.51,6.53,7,3.9909,0.3465,0.98,1,1
Chennai,Velachery,20.28,40.81,26548,41.06,3.93,3,20.28,40.81,26548,41.06,3.93,3,0.4971,0.6071,0.4191,0,0
Chennai,Velachery,118.08,20.61,76532,50.94,2.86,5,118.08,20.61,76532,50.94,2.86,5,5.7304,0.7145,0.98,1,1
Chennai,Velachery,67.56,47.4,24798,67.46,3.96,6,67.56,47.4,24798,67.46,3.96,6,1.4255,0.6037,0.8963,1,1
Chennai,Tambaram Outfall,131.63,52.59,92930,60.67,4.67,7,131.63,52.59,92930,60.67,4.67,7,2.5031,0.533,0.98,1,1
Chennai,Adyar Basin,391.02,64.6,73352,45.62,6.12,2,391.02,64.6,73352,45.62,6.12,2,6.0526,0.3877,0.98,1,1
Chennai,Velachery,148.82,66.52,48671,89.6,5.04,4,148.82,66.52,48671,89.6,5.04,4,2.2373,0.4962,0.98,1,1
Chennai,T. Nagar Market,330.83,64.76,71399,52.48,7.39,8,330.83,64.76,71399,52.48,7.39,8,5.1089,0.2608,0.98,1,1
Chennai,Tambaram Outfall,488.38,42.16,61991,42.29,2.97,4,488.38,42.16,61991,42.29,2.97,4,11.5831,0.7034,0.98,1,1
Chennai,Velachery,49.53,23.56,36531,80.56,4.44,7,49.53,23.56,36531,80.56,4.44,7,2.102,0.5557,0.98,1,1
Chennai,Velachery,331.29,58.22,25439,63.34,2.95,5,331.29,58.22,25439,63.34,2.95,5,5.6904,0.7046,0.98,1,1
Chennai,Velachery,156.52,58.46,55144,61.01,3.63,2,156.52,58.46,55144,61.01,3.63,2,2.6773,0.6369,0.98,1,1
Chennai,Velachery,323.43,46.52,26910,93.27,6.89,5,323.43,46.52,26910,93.27,6.89,5,6.9532,0.3107,0.98,1,1
Chennai,T. Nagar Market,484.41,50.09,59071,81.14,6.96,5,484.41,50.09,59071,81.14,6.96,5,9.6699,0.3035,0.98,1,1
Chennai,Velachery,193.27,41.6,75419,61.38,3.4,5,193.27,41.6,75419,61.38,3.4,5,4.6454,0.66,0.98,1,1
Chennai,Adyar Basin,459.66,53.8,84946,88.78,6.05,4,459.66,53.8,84946,88.78,6.05,4,8.5441,0.3948,0.98,1,1
Chennai,T. Nagar Market,420.48,65.95,76849,74.98,3.72,7,420.48,65.95,76849,74.98,3.72,7,6.3761,0.6284,0.98,1,1
Chennai,Tambaram Outfall,373.38,47.89,34571,42.96,4.26,7,373.38,47.89,34571,42.96,4.26,7,7.7966,0.574,0.98,1,1
Chennai,T. Nagar Market,477.3,44.42,66486,86.24,6.53,4,477.3,44.42,66486,86.24,6.53,4,10.7452,0.347,0.98,1,1
Chennai,Velachery,297.78,45.42,28894,45.83,3.33,7,297.78,45.42,28894,45.83,3.33,7,6.5563,0.6666,0.98,1,1
Chennai,Tambaram Outfall,222.79,28.04,85095,53.57,6.5,2,222.79,28.04,85095,53.57,6.5,2,7.9448,0.3504,0.98,1,1
Chennai,Tambaram Outfall,62.51,40.07,88056,70.53,6.53,8,62.51,40.07,88056,70.53,6.53,8,1.5597,0.3468,0.98,1,1
Chennai,Tambaram Outfall,390.44,47.71,67701,86.64,7.12,5,390.44,47.71,67701,86.64,7.12,5,8.1833,0.288,0.98,1,1
Chennai,Velachery,20.28,57.48,60372,60.24,4.3,4,20.28,57.48,60372,60.24,4.3,4,0.3529,0.5702,0.4493,0,0
Chennai,T. Nagar Market,492.24,38.42,29596,75.39,6.79,7,492.24,38.42,29596,75.39,6.79,7,12.8137,0.3208,0.98,1,1
Chennai,T. Nagar Market,81.02,53.15,22023,49.81,2.66,7,81.02,53.15,22023,49.81,2.66,7,1.5243,0.734,0.98,1,1
Chennai,Tambaram Outfall,207.71,63.71,56060,75.33,2.86,3,207.71,63.71,56060,75.33,2.86,3,3.2602,0.7143,0.98,1,1
Chennai,T. Nagar Market,351.71,22.64,85697,72.97,5.81,5,351.71,22.64,85697,72.97,5.81,5,15.5347,0.4188,0.98,1,1
Chennai,Adyar Basin,86.37,54.77,82539,83.17,6.39,8,86.37,54.77,82539,83.17,6.39,8,1.577,0.3608,0.98,1,1
Chennai,Tambaram Outfall,262.77,42.01,25469,58.05,4.89,3,262.77,42.01,25469,58.05,4.89,3,6.255,0.5113,0.98,1,1
Chennai,Tambaram Outfall,367.38,69.92,53787,56.47,3.45,7,367.38,69.92,53787,56.47,3.45,7,5.2545,0.6546,0.98,1,1
Chennai,Tambaram Outfall,252.66,28.91,50254,86.19,4.61,2,252.66,28.91,50254,86.19,4.61,2,8.7389,0.5389,0.98,1,1
Chennai,T. Nagar Market,27.55,21.21,26397,72.26,6.34,4,27.55,21.21,26397,72.26,6.34,4,1.2989,0.3663,0.8301,1,1
Chennai,Velachery,389.86,22.81,45122,63.63,7.3,6,389.86,22.81,45122,63.63,7.3,6,17.0939,0.27,0.98,1,1
Chennai,Velachery,234.47,44.15,46201,44.43,6.5,3,234.47,44.15,46201,44.43,6.5,3,5.311,0.3496,0.98,1,1
Chennai,T. Nagar Market,224.25,56.48,62821,43.15,3.74,5,224.25,56.48,62821,43.15,3.74,5,3.9708,0.6261,0.98,1,1
Chennai,Tambaram Outfall,241.12,20.67,21431,43.14,4.05,5,241.12,20.67,21431,43.14,4.05,5,11.665,0.5948,0.98,1,1
Chennai,T. Nagar Market,133.3,65.31,37015,93.62,4.54,8,133.3,65.31,37015,93.62,4.54,8,2.041,0.5458,0.98,1,1
Chennai,Tambaram Outfall,89.91,62.65,22643,74.08,5.59,6,89.91,62.65,22643,74.08,5.59,6,1.435,0.4409,0.9131,1,1
Chennai,Tambaram Outfall,165.98,58.59,34289,80.28,5.52,8,165.98,58.59,34289,80.28,5.52,8,2.8327,0.4484,0.98,1,1
Chennai,Adyar Basin,215.6,33.01,90968,67.2,7.89,6,215.6,33.01,90968,67.2,7.89,6,6.5318,0.2112,0.98,1,1
Bengaluru,Mahadevapura,98.18,35.52,41928,78.09,8.35,5,98.18,35.52,41928,78.09,8.35,5,2.7644,0.1654,0.98,1,1
Bengaluru,Bellandur Catchment,97.55,47.99,30352,93.17,6.09,2,97.55,47.99,30352,93.17,6.09,2,2.0328,0.3913,0.98,1,1
Bengaluru,HSR Layout Sector 6,23.96,72.31,38481,81.16,7.35,2,23.96,72.31,38481,81.16,7.35,2,0.3313,0.2646,0.3427,0,0
Bengaluru,Bellandur Catchment,112.99,48.57,29357,93.15,6.68,3,112.99,48.57,29357,93.15,6.68,3,2.326,0.332,0.98,1,1
Bengaluru,HSR Layout Sector 6,60.07,60.8,72326,79.99,7.44,3,60.07,60.8,72326,79.99,7.44,3,0.9879,0.2565,0.6208,1,1
Bengaluru,Silk Board,30.03,43.16,45573,89.41,3.1,6,30.03,43.16,45573,89.41,3.1,6,0.6957,0.6901,0.6817,1,1
Bengaluru,Mahadevapura,116.96,72.88,71700,77.6,8.42,3,116.96,72.88,71700,77.6,8.42,3,1.6048,0.1583,0.98,1,1
Bengaluru,HSR Layout Sector 6,66.41,75.01,38648,75.24,7.39,5,66.41,75.01,38648,75.24,7.39,5,0.8854,0.2609,0.7265,1,1
Bengaluru,Mahadevapura,109.97,45.92,47658,77.2,4.08,5,109.97,45.92,47658,77.2,4.08,5,2.3946,0.5924,0.98,1,1
Bengaluru,HSR Layout Sector 6,102.11,40.2,22239,91.12,5.18,7,102.11,40.2,22239,91.12,5.18,7,2.5398,0.4822,0.98,1,1
Bengaluru,HSR Layout Sector 6,73.26,49.62,52711,93.43,7.98,3,73.26,49.62,52711,93.43,7.98,3,1.4764,0.2016,0.9199,1,1
Bengaluru,HSR Layout Sector 6,34.57,35.13,48380,88.57,7.51,6,34.57,35.13,48380,88.57,7.51,6,0.9839,0.2488,0.6743,1,1
Bengaluru,HSR Layout Sector 6,107.11,78.23,20906,94.41,7.42,7,107.11,78.23,20906,94.41,7.42,7,1.3692,0.258,0.8545,1,1
Bengaluru,Bellandur Catchment,87.18,34.13,16125,98.21,6.61,4,87.18,34.13,16125,98.21,6.61,4,2.5544,0.3391,0.98,1,1
Bengaluru,Silk Board,78.07,54.01,39217,63.1,7.02,6,78.07,54.01,39217,63.1,7.02,6,1.4455,0.2977,0.847,1,1
Bengaluru,Bellandur Catchment,75.76,64.06,45090,95.15,6.58,2,75.76,64.06,45090,95.15,6.58,2,1.1826,0.3416,0.7604,1,1
Bengaluru,Silk Board,40.93,70.06,15587,73.07,3.96,6,40.93,70.06,15587,73.07,3.96,6,0.5842,0.6044,0.5424,0,0
Bengaluru,Bellandur Catchment,52.31,49.77,48866,85.39,6.42,7,52.31,49.77,48866,85.39,6.42,7,1.051,0.3585,0.8491,1,1
Bengaluru,Silk Board,112.32,50.92,55718,69.91,3.17,6,112.32,50.92,55718,69.91,3.17,6,2.2058,0.6829,0.98,1,1
Bengaluru,HSR Layout Sector 6,10.46,62.49,53547,68.86,7.6,4,10.46,62.49,53547,68.86,7.6,4,0.1674,0.2396,0.3587,0,0
Bengaluru,HSR Layout Sector 6,115.35,36.85,24528,71.85,6.59,7,115.35,36.85,24528,71.85,6.59,7,3.13,0.3408,0.98,1,1
Bengaluru,Silk Board,105.88,61.57,25449,85.38,7.81,4,105.88,61.57,25449,85.38,7.81,4,1.7195,0.2192,0.98,1,1
Bengaluru,Mahadevapura,30.56,46.44,17597,68.84,5.1,7,30.56,46.44,17597,68.84,5.1,7,0.6581,0.4901,0.5922,1,1
Bengaluru,Bellandur Catchment,68.25,25.99,38383,61.06,8.31,7,68.25,25.99,38383,61.06,8.31,7,2.6262,0.1686,0.98,1,1
Bengaluru,HSR Layout Sector 6,96.05,78.5,36778,91.39,3.1,7,96.05,78.5,36778,91.39,3.1,7,1.2236,0.6901,0.889,1,1
Bengaluru,Mahadevapura,74.77,59.93,71307,64.39,6.87,6,74.77,59.93,71307,64.39,6.87,6,1.2477,0.313,0.8835,1,1
Bengaluru,HSR Layout Sector 6,21.74,38.3,74711,82.12,4.56,7,21.74,38.3,74711,82.12,4.56,7,0.5675,0.5439,0.5553,1,1
Bengaluru,Mahadevapura,98.8,57.93,47762,95.21,7.69,2,98.8,57.93,47762,95.21,7.69,2,1.7053,0.2313,0.98,1,1
Bengaluru,Silk Board,82.14,74.08,38567,69.34,7.37,7,82.14,74.08,38567,69.34,7.37,7,1.1088,0.263,0.6927,1,1
Bengaluru,Bellandur Catchment,114.05,53.68,65500,69.84,4.21,5,114.05,53.68,65500,69.84,4.21,5,2.1247,0.5789,0.98,1,1
Bengaluru,Silk Board,99.69,53.89,61403,93.87,3.36,2,99.69,53.89,61403,93.87,3.36,2,1.8499,0.6644,0.98,1,1
Bengaluru,Mahadevapura,118.53,49.39,29567,96.98,5.45,2,118.53,49.39,29567,96.98,5.45,2,2.4001,0.4551,0.98,1,1
Bengaluru,Silk Board,87.78,62.2,58355,64.06,5.11,6,87.78,62.2,58355,64.06,5.11,6,1.4111,0.4885,0.9291,1,1
Bengaluru,Silk Board,71.56,59.88,55197,94.77,3.02,6,71.56,59.88,55197,94.77,3.02,6,1.1952,0.6984,0.8557,1,1
Bengaluru,HSR Layout Sector 6,83.46,74.91,44033,97.89,4.82,2,83.46,74.91,44033,97.89,4.82,2,1.1141,0.5178,0.7859,1,1
Bengaluru,HSR Layout Sector 6,44.13,36.38,21796,80.94,7.7,2,44.13,36.38,21796,80.94,7.7,2,1.2129,0.2302,0.8426,1,1
Bengaluru,Bellandur Catchment,111.33,71.42,31724,77.1,4.2,3,111.33,71.42,31724,77.1,4.2,3,1.5589,0.5798,0.98,1,1
Bengaluru,Silk Board,109.31,40.65,48623,80.73,7.84,2,109.31,40.65,48623,80.73,7.84,2,2.689,0.2161,0.98,1,1
Bengaluru,Mahadevapura,70.02,63.62,36386,65.13,4.51,2,70.02,63.62,36386,65.13,4.51,2,1.1004,0.5489,0.8122,1,1
Bengaluru,HSR Layout Sector 6,120.37,64.27,83847,71.57,6.95,5,120.37,64.27,83847,71.57,6.95,5,1.8728,0.3049,0.98,1,1
Bengaluru,Bellandur Catchment,97.72,72.46,67893,70.05,3.33,5,97.72,72.46,67893,70.05,3.33,5,1.3487,0.6673,0.9237,1,1
Bengaluru,Bellandur Catchment,107.32,61.45,49542,76.34,7.13,2,107.32,61.45,49542,76.34,7.13,2,1.7466,0.2869,0.98,1,1
Bengaluru,HSR Layout Sector 6,19.75,44.51,76350,76.09,6.55,3,19.75,44.51,76350,76.09,6.55,3,0.4437,0.3446,0.5234,0,0
Bengaluru,Bellandur Catchment,71.06,32.64,79200,83.89,7.81,5,71.06,32.64,79200,83.89,7.81,5,2.1773,0.2195,0.98,1,1
Bengaluru,Bellandur Catchment,24.66,74.63,45373,92.33,8.45,3,24.66,74.63,45373,92.33,8.45,3,0.3304,0.1548,0.3846,0,0
Bengaluru,Mahadevapura,64.58,29.64,82534,61.71,3.68,2,64.58,29.64,82534,61.71,3.68,2,2.1787,0.6323,0.98,1,1
Bengaluru,Mahadevapura,51.73,65.1,53392,62.63,5.13,4,51.73,65.1,53392,62.63,5.13,4,0.7946,0.4869,0.707,1,1
Bengaluru,Mahadevapura,75.97,72.4,77493,77.41,7.39,4,75.97,72.4,77493,77.41,7.39,4,1.0494,0.2609,0.7153,1,1
Bengaluru,Mahadevapura,114.28,75.41,83670,63.86,7.89,3,114.28,75.41,83670,63.86,7.89,3,1.5153,0.2107,0.9087,1,1
Bengaluru,HSR Layout Sector 6,93.71,45.6,55603,76.79,3.78,2,93.71,45.6,55603,76.79,3.78,2,2.055,0.6216,0.98,1,1
Bengaluru,Silk Board,125.11,43.69,55379,74.78,3.04,4,125.11,43.69,55379,74.78,3.04,4,2.8638,0.6963,0.98,1,1
Bengaluru,Bellandur Catchment,113.01,54.21,32438,86.84,3.77,6,113.01,54.21,32438,86.84,3.77,6,2.0847,0.6227,0.98,1,1
Bengaluru,Bellandur Catchment,13.35,52.8,22597,61.21,5.13,3,13.35,52.8,22597,61.21,5.13,3,0.2528,0.4866,0.2874,0,0
Bengaluru,Silk Board,65.76,40.91,17169,64.53,8.26,6,65.76,40.91,17169,64.53,8.26,6,1.6074,0.1742,0.8933,1,1
Bengaluru,Mahadevapura,118.03,58.16,21344,98.38,4.59,7,118.03,58.16,21344,98.38,4.59,7,2.0293,0.5414,0.98,1,1
Bengaluru,HSR Layout Sector 6,104.06,78.91,30848,81.59,5.98,7,104.06,78.91,30848,81.59,5.98,7,1.3188,0.4021,0.8325,1,1
Bengaluru,Silk Board,111.37,49.22,24569,70.11,4.07,2,111.37,49.22,24569,70.11,4.07,2,2.2625,0.593,0.98,1,1
Bengaluru,Silk Board,127.52,55.67,45654,65.43,5.44,3,127.52,55.67,45654,65.43,5.44,3,2.2904,0.4558,0.98,1,1
Bengaluru,Mahadevapura,35.21,68.03,35219,71.72,4.79,3,35.21,68.03,35219,71.72,4.79,3,0.5175,0.5208,0.5727,1,1
Bengaluru,HSR Layout Sector 6,14.8,51.16,53975,83.13,6.3,7,14.8,51.16,53975,83.13,6.3,7,0.2893,0.3705,0.4325,0,0
Bengaluru,Silk Board,65.75,27.09,59789,90.83,3.69,2,65.75,27.09,59789,90.83,3.69,2,2.4272,0.6313,0.98,1,1
Bengaluru,Bellandur Catchment,124.8,33.18,75011,78.85,7.75,3,124.8,33.18,75011,78.85,7.75,3,3.7607,0.225,0.98,1,1
Bengaluru,HSR Layout Sector 6,44.75,36.18,17454,75.08,5.81,2,44.75,36.18,17454,75.08,5.81,2,1.237,0.4188,0.8421,1,1
Bengaluru,Silk Board,129.26,47.42,33354,83.48,6.25,6,129.26,47.42,33354,83.48,6.25,6,2.726,0.3747,0.98,1,1
Bengaluru,Mahadevapura,34.38,31.01,23016,84.97,4.64,4,34.38,31.01,23016,84.97,4.64,4,1.1086,0.5359,0.7486,1,1
Bengaluru,Silk Board,72.07,59.46,66919,89.74,8.11,7,72.07,59.46,66919,89.74,8.11,7,1.212,0.1889,0.8096,1,1
Bengaluru,Mahadevapura,116.04,54.0,41943,71.68,4.97,3,116.04,54.0,41943,71.68,4.97,3,2.149,0.5027,0.98,1,1
Bengaluru,Bellandur Catchment,126.43,25.49,25503,98.79,3.49,7,126.43,25.49,25503,98.79,3.49,7,4.9603,0.6506,0.98,1,1
Bengaluru,Mahadevapura,15.37,43.8,24764,88.88,3.79,6,15.37,43.8,24764,88.88,3.79,6,0.3509,0.6214,0.5148,0,0
Bengaluru,Silk Board,112.86,58.75,67327,75.56,6.98,7,112.86,58.75,67327,75.56,6.98,7,1.9211,0.3023,0.98,1,1
Bengaluru,HSR Layout Sector 6,93.59,26.35,81634,73.6,3.61,5,93.59,26.35,81634,73.6,3.61,5,3.5521,0.639,0.98,1,1
Bengaluru,Silk Board,126.14,53.74,37031,86.59,3.62,3,126.14,53.74,37031,86.59,3.62,3,2.3472,0.6379,0.98,1,1
Bengaluru,Bellandur Catchment,39.46,51.3,61092,86.01,4.16,3,39.46,51.3,61092,86.01,4.16,3,0.769,0.5839,0.7077,1,1
Bengaluru,Bellandur Catchment,28.52,39.64,38782,78.58,4.24,2,28.52,39.64,38782,78.58,4.24,2,0.7196,0.5757,0.5839,1,1
Bengaluru,Bellandur Catchment,129.04,58.19,76202,85.26,3.68,2,129.04,58.19,76202,85.26,3.68,2,2.2176,0.6324,0.98,1,1
Bengaluru,Bellandur Catchment,81.24,59.36,40235,86.62,4.33,5,81.24,59.36,40235,86.62,4.33,5,1.3685,0.5669,0.9589,1,1
Bengaluru,Bellandur Catchment,110.02,69.22,61101,81.97,3.66,4,110.02,69.22,61101,81.97,3.66,4,1.5895,0.634,0.98,1,1
Bengaluru,Mahadevapura,29.29,73.51,60409,88.15,4.49,2,29.29,73.51,60409,88.15,4.49,2,0.3984,0.5506,0.5276,0,0
Bengaluru,Mahadevapura,22.49,35.4,46897,87.89,6.26,2,22.49,35.4,46897,87.89,6.26,2,0.6355,0.3736,0.5173,0,0
Bengaluru,Mahadevapura,110.53,32.15,68384,92.87,4.72,5,110.53,32.15,68384,92.87,4.72,5,3.4383,0.5277,0.98,1,1
Bengaluru,Bellandur Catchment,118.45,48.86,17224,74.72,8.15,4,118.45,48.86,17224,74.72,8.15,4,2.4243,0.185,0.98,1,1
Bengaluru,Bellandur Catchment,78.66,76.16,59760,87.45,3.02,6,78.66,76.16,59760,87.45,3.02,6,1.0328,0.6976,0.822,1,1
Bengaluru,Silk Board,116.46,35.05,69040,71.62,3.58,4,116.46,35.05,69040,71.62,3.58,4,3.3223,0.642,0.98,1,1
Bengaluru,Mahadevapura,70.85,48.8,82055,68.15,5.03,5,70.85,48.8,82055,68.15,5.03,5,1.4518,0.4972,0.9346,1,1
